Title,Location,Description,Additional Information,Views,Applications,Filtered Technologies
Python developer,['Czechia'],"as a python developer we expect you to have the following skills:- 5+ years of experience as a software engineer (minimum 3 years as python software engineer)- experience with web frameworks such as django, flask- deep understanding of solid principles, patterns, and algorithm, and ability to apply them- experience in designing database structures (sql)- experience in building a microservice architecture- experience in building unit test architecture- working with azure devops- at least intermediate level of english (ability to communicate with colleagues and customers)- independence in decision makingyour future responsibilities:- deliver new progressive features and stabilize/enhance those that already exist- prepare estimates for tasks and in-time feature deliveries- take care of project architecture- working closely with a team and communicating with customers- follow the development workflow- write clean and well-structured codeabout project:our customer is on a global world mission to provide aid to people from countries all over the world suffering from food insecurity. while the selfless organization staff and volunteers work to ensure people’s survival, the valor software team supports staff to safely travel where they are most needed. we build a mobile app allowing users to review information about the services available in the desired location, make their booking, and be all-packed upon arrival to a new country.","['Full Remote', '5 years of experience', 'Upper-Intermediate']",163,51,"['AZURE', 'DJANGO', 'PYTHON']"
Tech Lead (Python),"['Relocate', 'Ukraine']","tech lead (python)we are looking for a technical lead to join our r&d team in kyiv (remotely).our solution inventa is the best discovery and classification engine that enhances several compliance, security, and privacy tools, by making sure that the data used is the most up-to-date and accurate as possible; inventa delivers efficient up-to-date business intelligence for data protection in enterprises. you will join a team of talented people who work collaboratively between developers, quality engineers, product managers, devops and ux experts to make our product leader in the international market.responsibilitiesestablish a technical vision with the team – assess, guide, facilitate technical discussions and arbitrate technical decisions;participate in kick-off meetings for new epics and work together with the product owner on planning the important milestones for technical debts items;complex features decomposition, estimation and development process leading;facilitate small to large group meetings for technical design, decision-making, problem-solving and task implementation;design and uphold technical delivery practices and be the technical voice of your team;build, deploy, and test application components in a development environment during the implementation phase working with all layers of the application stack;maintain system in production, perform application and monitoring system;preparing and producing releases of software components;support the team in troubleshooting technical issues.requirements & skillsexcellent technical, diagnostic, and troubleshooting skills;good communication, motivational, and interpersonal skills;previous technical leadership skills and experience leading teams;profound experience with api integrations.solution architecture and design skills;strong leadership and organizational abilities;8 years+ industry experience;good verbal and written english - b2/c1 (upper-intermediate/advanced).tech stackpython 3;flask, fastapi;deep knowledge of ood, oop and solid principles;experience with tdd;solid experience with sql and nosql databases (postgres/mongodb);hands-on experience with apache kafka;practical experience with kubernetes.nice to haveexperience with celery;experience with redis;experience working with different third-party tools on user, admin or development level:incident/tickets management systems (onetrust, servicenow, pan xsoar, ibm security soar, zendesk etc);syslog management systems (splunk, ibm qradar, alienvault, exabeam etc);data security solutions (ibm guardium data protection etc);data governance solutions (alation, collibra, ibm guardium insights, ibm watson knowledge catalog etc). benefitsfriendly and highly professional atmosphere, laptop or workstation, corporate events.office in kyiv in the co-working space “creative states of arsenal”.benefits package including competitive salary and option plan.paid 14 sick leave days, 20 vacation and national holiday days.great opportunities for professional growth and advancement.reimbursement for transportation expenses for out-of-town employees, parking place as an option.about the company1touch.io is a u.s.-headquartered and israeli-based technology company with r&d in kyiv ukraine. the company ensures automated, real-time discovery, mapping, and tracking of sensitive personal data flow. the company has designed an ai-based sustainable data discovery and management platform, which is called inventa, to ensure the privacy, security, and governance of data. our target market is largely distributed, hybrid customers that hold petabytes of information in different structures and forms in different locations - on-prem and cloud.about the productthe product has the ability to deliver a very accurate master catalog of sensitive data usage to allow businesses to manage data security/compliance to complement their infrastructure-based security/compliance programs. it is a fully automated solution that covers data in any format, be it structured or unstructured, data-in-motion or data-at-rest, both known or unknown. it covers all aspects of data processing in one place and aggregates that into a master catalog containing all the customers’ or employee’s information.","['Product', 'Office or Remote', '5 years of experience', 'Pre-Intermediate']",90,15,"['OOP', 'SQL']"
Middle/Senior Python developer,['Ukraine'],"we are currently seeking a developer for a long-term collaboration from ukraine and europe. our company is engaged in various projects that require skilled and dedicated individuals to contribute their expertise.responsibilities:- development of the important platform’s components.- participation in planning and estimation sessions.- proactive position in platform evolvement, technical solutions, etc.- building solutions from scratch.- transformation of the requirements to a set of unit tests.- code review.requirements:-python - experience: 3+ years-knowledge of javascript would be a plus - english: intermediate and higher- excellent communication skillswe offer:- short hiring process (2 interviews)- long term contract","['Full Remote', '3 years of experience', 'Intermediate']",143,37,['JAVASCRIPT']
Middle Python Developer,"['Ukraine', 'Kyiv']","привіт!)ми unitalk — міжнародна іт-компанія, яка надає круті та якісні послуги в галузі телекомунікацій, серед яких ір-телефонія, віртуальна атс, колтрекінг, запис телефонних розмов та ін. кілька фактів про нас:- 6+ років успішної діяльності на ринку- 50+ професіоналів у команді - 135+ країн в яких надаємо послуги.наша місія - надати якісний, гнучкий та універсальний інструмент комунікації для будь-яких сфер бізнесу.ми об’єднані спільними цілями, інтересами і шукаємо middle python developer, який ідеально доповнить нашу команду:)що ми очікуємо:- 2+ роки комерційного досвіду в розробці на python- практичний досвід з postgresql - впевнене володіння javascript - англійську мову upper-intermediate+- досвід роботи з linux серверами- знання json та xml- досвід в розробці бізнес застосунків - аналітичне мислення- ініціативність та проактивність. буде плюсом:- досвід роботи з odoo.що ти будеш робити:- розробляти модулі в екосистемі odoo- впроваджувати нові розширення для системи- обробляти функціональні вимоги та реалізовувати їх в odoo- взаємодіяти з фінансовим відділом та доповнювати функціонал системи відповідно до його потреб.що ми пропонуємо:- гнучкий графік роботи- офіційне працевлаштування згідно з кзпп україни- 21 календарний день оплачуваної відпустки та лікарняні- зручне розташування офісу біля метро контрактова площа- комфортне робоче місце та необхідну техніку- компенсацію навчання- професійний та кар’єрний ріст- смачні перекуси з кавою/чаєм, солодощами і фруктами - ігрову кімнату з ps5, настільним тенісом та футболом- цікаві team building та інші активності- приємну атмосферу в колективі та лояльне керівництво.наші соцмережі:instagram: https://www.instagram.com/unitalkcloud/ facebook: https://www.facebook.com/unitalk.cloud youtube: https://www.youtube.com/c/unitalk_cloud якщо цей опис про тебе, максимально відповідає твоїм очікуванням і бажанням, надсилай резюме! ми з радістю ознайомимося з твоїм досвідом, і якщо він відповідає нашим вимогам, зв’яжемося з тобою протягом 5 робочих днів:)","['Product', 'Hybrid Remote', '2 years of experience', 'Upper-Intermediate']",127,26,"['POSTGRESQL', 'JAVASCRIPT', 'PYTHON']"
Web Scraping Specialist,"['United', 'Kingdom']","rate: $5,000-7,000 usd per monthlocation: remote (ukraine, poland, uk, portugal, spain)contract type: b2b (independent entrepreneur)the role:- develop a system to extract data at scale and at a high frequency from sites, using a mix of existing frameworks and new development.- work with existing teams to help overcome particular pain points and suggest improvements to the current framework/system.- ensure the system is scalable and efficientwhat we’re looking for:- strong experience dealing with waf (web application firewalls)- good understanding of browser fingerprinting and how this is used- expertise with user-agent spoofing and modifying user-agent headers to emulate different web browsers or devices.- familiarity with paid proxy services- experience using python- attention to detail and accuracy- ability to work independently and as part of a team- excellent problem-solving skills- strong communication and collaboration skillstech stack: core python, clickhouse, mysql, pandas, airflow, jenkins, kubernetes, docker and kafka.","['Product', 'Full Remote', '5 years of experience', 'Intermediate']",209,33,"['JENKINS', 'PANDAS', 'MYSQL', 'KUBERNETES', 'PYTHON', 'DOCKER']"
Python Developer,"['Poland', 'Ukraine', 'Kyiv']","looking for a python developer to join the dataforest team. if you are looking for a friendly team, a healthy working environment, and a flexible schedule ‒ you have found the right place to send your cv.skills requirements:• 1 year+ experience with python;• experience with web scrapping and html parsing;• experience with sql;• experience with web automation;• experience with libraries/ frameworks: beautifulsoup, selenium, lxml;optional skills (as a plus):• experience with flask ;• experience with nosql and in-memory db;• experience with pandas.key responsibilities:• develop scraping and parsing solutions;• develop api, etl pipelines, other data integration services ;• collaborate with project managers to solve customer problems;• optimize applications regarding project requirements;• collaborate with team members, take part in meetings, brainstorms. we offer:• great networking opportunities with international clients, challenging tasks;• building interesting projects from scratch using new technologies;• personal and professional development opportunities;• competitive salary nominated in usd;• paid vacation and sick leaves, medical insurance;• flexible work schedule;• friendly working environment with minimal hierarchy;• team building activities, corporate events.","['Office or Remote', '1 year of experience', 'Intermediate']",372,54,"['SELENIUM', 'BEAUTIFULSOUP', 'FLASK', 'PYTHON']"
Python Backend Developer,['Ukraine'],"продукт стрімко розвивається і в команду шукаємо мотивованого та професійного python backend розробника.що ми очікуємо від кандидата:hard skills- обов'язковий досвід роботи з  fastapi/starlette. бажане знання aiohttp - упевнене знання sqlalchemy, celery, asyncio- досвід розробки rest api- знання sql, бажано postgresql- досвід роботи з rabbitmq, redis- уміння працювати з серверною інфраструктурою: docker, nginx- уміння працювати з gitsoft skills- проактивна позиція, професіоналізм, комунікабельність- уміння оцінювати терміни та відповідати за них;- самостійність у вирішенні проблем","['Product', 'Full Remote', '2 years of experience']",211,51,"['CELERY', 'SQL', 'REST', 'PYTHON', 'DOCKER', 'FASTAPI']"
Python Engineer,"['Relocate', 'Ukraine', 'Lviv']","lemberg solutions is, above all, a group of passionate professionals led by a core team that have been meticulously selected over the last 15 years. we are based in lviv, rivne, and lutsk, and opened gmbh in hamburg, germany.at ls, people come first. we know that our success is based on our people’s achievements. each and every one of our 200 team members is highly valued for their hard work, and we’re always excited to welcome new specialists ready to embrace challenges with us. pay attention: only those candidates who meet the listed requirements will receive an answernecessary skills and qualifications:- at least 3 years of commercial experience with python frameworks (flask or fastapi or django rest, etc.)- experience with relational/non-relational databases- strong knowledge of the object-oriented design and analysis principles- hands-on experience with application performance optimization and low-level debugging- experience with aws or azure cloud services- good knowledge of http protocol- knowledge of communication protocols: mqtt/xmpp/amqp/rabbitmq/websockets- proactive position in solution development and processes improvements- ability to cooperate with customers and teammates- at least intermediate level of written and verbal englishwill be a plus:- experience with any other back-end technologies- ability to investigate new technological areas and understand them in depth through rapid self-learning- practical experience collecting data from at least one hardware device such as arduino or raspberry pi- experience with contributing to and influencing technical strategic planning or responsibility for a technical strategy- ability to document technical solutions in different formatswhat we offer:time off - 18 days paid annual leave- 10 days paid sick leave- 5 days unpaid leave- 5 days additional paid time off following your wedding or your child’s birth- paid public holidaysworkplace benefits- free english classes in groups- flexible work schedule- fully equipped workstation- comfortable office- access to a video library of soft skill workshopsfinancial benefits- relocation support program- financial support from ls in case of emergency (reviewed individually)- overtime pay- in-house accounting servicefun- lviv it cluster gifts & discounts - team building & industry eventsabout the project:our typical python projects consist of dynamic rest api services seamlessly integrated with cutting-edge cloud services from aws and azure. moreover, our projects usually feature background services, including data consumers, workers, or system demons. mainly, we work with startup projects, so you will need to solve specific challenges to help our customers meet their business requirements.","['Hybrid Remote', '3 years of experience', 'Intermediate']",69,17,"['DJANGO', 'REST', 'HTTP', 'PYTHON', 'AZURE', 'AWS', 'FASTAPI']"
Middle+ Python Backend Engineer,['Ukraine'],"what are we doing?develux is an it consulting and software development company with products for the us market and outsourcing services worldwide. the company has been on the market since 2014 and has achieved perfect results in our four business units. we have 350+ goal-oriented, passionate specialists who are open to new challenges.how old is the project? what stage is it at?we are in the ed-tech space helping hundreds of thousands of students deal with academic hurdles and questions. we have been around since 2014, overgrowing every year. furthermore, we are currently working on expanding the functionality of our product, all while focusing on improving customer experience and increasing our financial metrics.our company is a b2b2c educational platform that provides academic paper writing services. our clients can choose the type of work, set requirements and deadlines, and choose the author. in addition, online chat allows customers and authors to communicate with each other to clarify.we also provide services for checking papers for plagiarism, editing and correcting text, and training and advice on improving research paper writing skills. our team of writers consists of only the best experts, who are rigorously screened and constantly improve their skills.our platform also provides the opportunity to receive feedback from authors and ask for technical support and help in choosing the best work.we constantly improve our platform and services to provide our customers with the highest convenience and quality.our support team is always available to help customers with any questions regarding our platform. we strive to ensure that our clients have only a positive experience with us and recommend us to their friends and colleagues.what do you need to do?- write clean and well-structured code that is easy to read and maintain.- use version control to manage code changes and collaborate with other developers.- follow security best practices when handling sensitive data or user information.- use automated testing tools to ensure code quality and reduce the risk of bugs.- document your code and write clear and concise comments.- use modular design principles to make your code more flexible and reusable.- stay up-to-date with the latest industry trends and technologies.- use design patterns and best practices to make your application more maintainable and extensible.technologies:python 3.x, drf, django channels, redis, postgresql, elasticsearch, awswork experience:- 3+ years of commercial experience with python 3;- 1+ years of experience with designing, and implementing rest api (drf, fast api);- experience working with relational and nosql databases(postgresql, mongodb);- experience working on linux, docker;- a clear understanding of high-quality code, unit testing, software design, and design patterns;- exceptional problem-solving, technical, and data analysis skills;- experience with scrum/agile methodology, ci/cd.- qualities: star performer, team player, fast, strong ownershipadditional hard skills:some experience with elasticsearch;experience with kubernetes, clouds(aws/gcp)questions and answers:- does the job come with a probation period, and if so, how long does it last?yes, there is a three-month probation period.- what is the expected work schedule?full-time, flexible, please start no later than 11:00 (on average 8 hours per day). the office in kyiv is open from 9:00 to 20:00. you can work remotely and choose hybrid mode where you can combine working on-site and remotely.- how many vacation and sick days are provided?annual paid vacation – 21 working days; paid confirmed sick leave; 6 unconfirmed sick days/days off a year.what social package and benefits are offered?- english courses (up to 80 usd/month after successful completion of the probation period)- compensation for the cost of a subscription sports center (up to 80 usd/month after successful completion of the probation period)- medical insurance (50% after successful completion of the probation period) or $200 a year for health care- corporate eventshiring process:hr-call with recruiterinterview with the hiring manager (1 hour)trial dayproposal for cooperation with develux","['Product', 'Office or Remote', '3 years of experience', 'Intermediate']",117,45,"['DJANGO', 'POSTGRESQL', 'REST', 'KUBERNETES', 'REDIS', 'PYTHON']"
Database Administrator,"['Germany', 'Poland', 'Ukraine']","starnavi is looking for database administrator!we propose to join our team and participate in the development of different and interesting projects. let’s connect!full remote. work in usa central standard time zone (gmt -6)required skills:- experience of optimising and running high volume workloads- python and bash knowledge - experience with etl- experience with dwh (snowflake)- sql knowledgeresponsibilities:- provide dba support to data integration and bi teams.- identify impact on our current code base for ddl schema changes.- configure and maintain database and processes.- ensure high levels of performance, availability, sustainability and security.your benefits:- extensive experience and remote work possibilities;- hands-on training support and help with creating/updating profile;- paid vacation and sick days;- insurance compensation;- partial compensation of gym membership, english courses, books, materials for developing etc.;- unique company that is focused on the solutions development for specific business niches;- opportunity to get more experience with events, conferences, seminars, master classes and training at the company’s expense;- best management and team support: we are always happy to hear from colleagues about their business & technology ideas;- opportunity to implement your ideas on our internal projects;- regular salary revision.","['Full Remote', '3 years of experience', 'Upper-Intermediate']",70,14,"['SQL', 'PYTHON']"
Python developer,['Ukraine'],"ми знову розширяємось і шукаємо сильно девелопера на активний девелопмент saas платформи.що для нас важливо в першу чергу (required):- розуміння web технологій, client-server коммунікації- python3.8+- django/drf, understanding microservices architecture (бажано з досвідом)- english intermediate or higher- хороше розуміння та досвід *docker/docker compose*- досвід з aws (ec2, rds etc)- впевнене володіння git, вміння читати та ревьювити код колег- робота з деплойментом, ci/cd, досвід/розуміння github actions чи чогось подібного.- досвід з fastapi та flaskтакож важливо:- самостійна робота над проєктом (звісно будуть мітинги, брейншторми і т.д. з командою) але важливо вміти розв'язувати проблеми самостійно- постійна робота над своїми знаннями, ініціатива по покращенню проєктів.- почати своє повідомлення нам з рядка ""вітаю, peppernode!""ми пропонуємо:- цікаві проєкти з використанням сучасних технологій- веселий молодий колектив- вчасну компенсацію на рівні ринку, можливість швидкого росту- покриття курсів на покращення тех-знань","['Full Remote', '2 years of experience', 'Intermediate']",131,38,"['DJANGO', 'GITHUB', 'GIT', 'DOCKER', 'AWS', 'FASTAPI']"
Senior Python Developer (Backend Focused),"['Germany', 'Spain', 'United', 'States']","spreenauten gmbh is a specialized technical service provider for communication technology. the development of hardware and software complete our portfolio. in addition to our headquarters in berlin, germany, we maintain a branch office in vigo, spain and a contact office in the usa. for our small but very well positioned it team we are looking for an experienced senior developer (backend focus) part-time 20 - 24h per week as soon as possible.we offer a friendly and very dedicated environment:- 1 x lead developer- 1 x devops- 3 x backend/fullstack- 1 x algorithm developer- 2 x frontend developer- 1 x designer- 2 x powe work exclusively on our own projects, do not rely on investors and can therefore focus on quality and also on the developer experience.*our tech stack:*- python (aiohttp, asyncio)- partly java- react.js- swiftui*tools:*- docker- k8s- aws- gitlab- jira- confluence*apps we are currently working on:*- navigation app- erp- crowdhosting - gourmet app (side project)*skills we are looking for:*python (aiohttp, asyncio): senior, at least 4 years active experience in app development, preferably already at senior or team lead level with a good understanding of software architecture.very good math skills, as we often solve complex math problemsvery good analytical skills, as we work on eps with heavy logicyou should have good experience with docker and clean, lean well documented and structured code should be a concern for you.another programming language and a basic understanding of react.js would be a plus.we offer very fair conditions, bonus payments up to shares of the projects you work on. flexible working hours, fast communication and the possibility of remote, hybrid or relocation are a matter of course for us.we are looking forward to your application.","['Product', 'Office or Remote', '5 years of experience', 'Upper-Intermediate']",111,26,"['DOCKER', 'PYTHON']"
Prompt Engineer,['Ukraine'],"brave fast learners and chatgpt fans needed to build ai productshey! i am ivan kovpak, a 5x-exited founder at primeclass.ai, a venture-backed b2b saas startup headquartered in los angeles, california. primeclass is an ai platform to enable every business with its own ai to drive productivity, decision-making, customer and employee experience.what you will do?i am looking for brave fast learners and chatgpt fans to build ai products as prompt engineers. you will work in the proprietary ai development engine, with access to gpt3, gpt4, claude and other llms, powered with vector databases and external apis. you will create task-specific ai apps, and your responsibility will be their output quality.please apply if you meet the qualifications:-excellent written communication in english-fast learner-experienced chatgpt user-basic python-problem solving skills and creativity-team player-comfortable with remote/hybrid settingwhat we offer:-competitive compensation package-work at your own schedule-great work culture","['Product', 'Full Remote', '1 year of experience', 'Upper-Intermediate']",408,122,[]
Python Full-Stack Engineer,"['Ukraine', 'Kyiv']","wesoftyou creates web and mobile solutions and custom b2b and b2c applications for various industries and business areas, including healthcare, e-learning, retail, web3, fintech, and adtech.about the project: a centralized platform for the entire firm to best identify, win and manage the highest-value investments and relationships, now are looking for a middle+ software engineer to join our tech team!👉 required skills:— 3+ years of commercial experience with python;— 1+ years of commercial experience with react/nextjs;— python aws cdk, cloudformation templates;— proficient experience with sql databases;— experience with aws services (lambda, dynamo, appsync);— upper-intermediate level of english.👉 as a plus:— experience with graphql;— knowledge of the microservices architecture.👉 responsibilities:— develop new features in the project;— write reusable, testable code;— reviewing the code of teammates;— reviewing your implemented code in the dev environment;— participate in the grooming process;— tracking your work time by upwork tracker.👉 what we offer:🎁 benefits program:— 18 working days of fully paid vacation, 5 days compensated sick leaves;— coverage of taxes and free tax reporting support by our financial department;— help with individual entrepreneurs’ questions and accounting supportfinancial aid and additional days off for various occasions (e.g. marriage, childbirth, etc);— internal educational events (wethursdayyou);— regular company updates from the ceo (friday letter).😌 comfortable working conditions:— flexible working hours;—provision of required equipment;—hybrid working model (remote or from a cozy office in the kyiv center);👥 community:to build community among our employees we keep going with:— various corporate events (psychological training, based on employees’ needs to care about mental health, new year celebration, summer party, team buildings, etc.);— celebration of important personal and project milestones (project successes, b-days, anniversaries);— open door culture (regular one-two-one meetings with hr/pm/manager)morning online sports activities for all team members to care about physical health;— support of team members during russian aggression (evacuation, safe accommodation in western ukraine, financial support for those who joined armed forces, donations, etc.).","['Office or Remote', '3 years of experience', 'Upper-Intermediate']",39,7,"['SQL', 'PYTHON', 'REACT', 'AWS']"
"Python Middle+ engineer. FastAPI, MongoDB, LLMs (LangChain, GPT, Falcon, Llama v2)","['United', 'Kingdom', 'Ukraine', 'United', 'States']","architect and build production-ready llm applications with us.required * experience with fastapi  in production * experience with mongodb * mention ""42"" in your response * chatgpt api * langchain * faiss ~or~ chromadb * analytical / problem-solving mindset (in love w/ diagrams and mind maps) * clear thinking and clear communication in written english thank you! p.s. prior ml, data science, or nlp experience is a huge plus.","['Product', 'Full Remote', '2 years of experience', 'Upper-Intermediate']",229,73,"['MONGODB', 'FASTAPI']"
Lead Software Engineer,['Ukraine'],"looking for lead software engineer for outstaff project.requirements● 8+ years of experience in software engineering.● strong knowledge of python and javascript (node.js).● demonstrable understanding of software architecture and systems design.● comfortable working with api integrations and cloud services like gcp.● experience with tensorflow & pytorch is preferred.● current with ai app development best practices and frameworks such as langchain.● understanding of the latest ai app best practices and open source code viahuggingface.● uses ai tools like gpt4 in their workflow to accelerate development. is excited aboutusing github co-pilot x and other cutting edge productivity tools.● commitment to mastering the development of ai applications including nlp models.● strong leadership and team management skills, with a proven track record of recruitingand building engineering teams.● excellent communication skills and the ability to articulate complex technical concepts toa non-technical audience.● fast learner, able to quickly adapt to new technologies and processes.● relentlessly obsessed with details and continuous improvement.","['Office or Remote', '5 years of experience', 'Upper-Intermediate']",25,4,"['PYTORCH', 'GITHUB', 'JAVASCRIPT', 'TENSORFLOW', 'PYTHON']"
Team Leader for the Integration Engineering Python,"['Ukraine', 'Lviv']","we are a stealth-mode cyber security startup after a successful seed funding round, backed by top-notch investors. with three co-founders holding strong track records in sales, product, and technology from leading companies in the industry, we're on a mission to solve a significant challenge in how cyber security teams consume data in enterprise companies. with new offices in central tel aviv and a development team eager to take us to the next phase, we're looking for a skilled team leader to join us in making our vision a reality. if you're passionate about innovative problem-solving and want to play a pivotal role in building something from the ground up, we would love to speak with you about joining our team!what are we looking for?we are seeking a highly motivated and experienced team leader to oversee our integration engineering team. the ideal candidate should possess strong leadership skills, a growth mindset, a pragmatic and can-do attitude, and a relentless commitment to engineering excellence. as a key member of our team, you will contribute not only to the success of our projects but also to our team culture, fostering an environment of collaboration and growth.what will you do?as a team leader for the integration engineering team, you will be responsible for guiding and managing a team of talented integration software engineers. your primary focus will be on overseeing the architecture, design, and implementation of our multi-disciplinary cloud-native software platform. you will work closely with cross-functional teams to ensure the seamless integration of various systems and components, while also driving the team's performance and growth. additionally, you will collaborate with other team leaders and stakeholders to align engineering efforts and drive overall project success.what experience or knowledge should you bring?bachelor's degree in computer science, software engineering, or relevant field must have.strong proficiency in the python ecosystem and previous hands-on experience as an integration software engineer (big advantage). with at least 5-6 years of experience and 1.5 and years as team leader.demonstrated experience leading and managing a team of engineers, providing technical guidance, and fostering a collaborative environmentproven expertise in working with rest/gql apis and integrating various systems and servicesfamiliarity with distributed systems, containerization, and modern devops practices (e.g., k8s, docker, ci/cd)excellent english communication skills, both written and verbal, to effectively collaborate with cross-functional teams and stakeholders offshoreit would be great if you also have:experience working in startups or fast-paced environmentsprevious experience in a company known for its engineering excellencestrong knowledge of agile methodologies and project management practices","['Office or Remote', '5 years of experience', 'Upper-Intermediate']",27,2,"['DOCKER', 'REST', 'PYTHON', 'APIS']"
Senior Python Engineer,"['Azerbaijan', 'Kazakhstan', 'Poland', 'Ukraine']","specialist level requirements: seniorenglish language requirements: upper intermediate +must have:• 5+ years of experience with developing applications in python (non-web)• experience using async.io in commercial applications• nosql (mongodb), rest, json• past experience working on ai projects would be a huge plus• git, docker, elasticsearch• experience with unit and e2e tests• knowledge of design patterns, functional programming and procedural languages• knowledge of the principles of writing ""clean code""‌would be a plus:• familiarity with cloud services and infrastructure, such as aws or gcp would be an advantage• a passion for learning and staying up-to-date with the latest technologies and industry trendswe offer:• flexible schedule;• office in the city center (remote work is possible);• comfortable workplace;• compensation for an english-speaking club;• paid holiday;• paid sick leave;• a decent level of income;• regular review of compensation;• corporate events and teambuilding;• compensation for attending conferences and training","['Office or Remote', '5 years of experience', 'Upper-Intermediate']",109,27,"['GCP', 'GIT', 'REST', 'DOCKER', 'PYTHON', 'AWS']"
Python Software Engineer,"['Ukraine', 'Kyiv']","about the rolewe are looking for a python engineer who will play a crucial role in the development of top-notch software solutions. your responsibilities will include creating innovative features, ensuring the high quality and reliability of existing systems, and providing support for our python packages. your technical and professional expertise3+ years of experience with python.2+ years of professional experience in software development.proficiency in using linux tools and working with linux-based systems.experience working with data science libraries such as apache arrow, huggingface datasets, pandas, and numpy.basic knowledge of networking stacks, including osi, tcp, ip, udp, http, ws, quic, etc.experience with docker-based development cycles, including containerization, orchestration, and deployment.what will make you standout1+ year of experience with c/c++ or beginner experience in rust. knowledge of data management concepts and tools, particularly etl (extract, transform, load) processes.familiarity with code generation techniques and tools.basic experience with javascript and/or typescript.what do we offer?opportunity to work on bleeding edge technologyas an early stage startup we provide an amazing opportunity to work in a high-tech environment with a unique focus on research & development. join our dynamic team at the forefront of cutting-edge technology and innovation.make a major impact as part of a rapidly growing teamwe believe in empowering our employees to be pioneers in their fields. here, you won't be limited by red tape or bureaucratic hurdles. instead, you'll have the freedom to explore new ideas and make impactful decisions that shape the future of our company. your voice matters, and your innovative thinking will be embraced and celebrated as you drive progress in your role. be the master of your timewe understand that life happens, and a healthy work-life balance is essential for overall happiness and productivity. embracing this philosophy, we offer a flexible schedule and unlimited out of office plan to accommodate your personal needs and commitments. our company provides an unparalleled opportunity for growth and innovation in a high-tech environment that values its employees' contributions. with competitive employment terms, stock options, and comprehensive healthcare coverage, we prioritize your well-being and success. we are an equal opportunity employer and value diversity at our company. we do not discriminate on the basis of race, religion, color, national origin, gender, sexual orientation, age, marital status, veteran status, or disability status.","['Product', 'Office Work', '3 years of experience', 'Advanced/Fluent']",125,29,"['JAVASCRIPT', 'HTTP', 'PANDAS', 'PYTHON']"
Senior Python Developer,"['Ukraine', 'Kyiv']","requirements:- 5+ years of experience with python;- experience working with aws platform (lambda, s3. dynamo db, api gateway, etc.);- restful api design/development;- understanding the kubernetes concepts (architecture and design);- experience in developing ai/ml-based algorithms based on results;-  understanding of front end technologies (react.js or angular is a plus);- knowledge of nosql and relational databases;- problem-solving mindset and proactive personality;- upper intermediate + lvl of english;- upper intermediate + lvl of  russian or ukrainian.responsibilities:- proposing and designing software solutions to address complex business needs;- integration of data storage solutions;- providing technical guidance and support to junior colleagues;- preparing technical and procedural documentation;- applying modern principles, methodologies, and tools to advance business initiatives and capabilities;- opportunity to put your stamp on a greenfield project.benefits package:- extensive experience and remote work possibilities;- hands-on training support and help with creating/updating profile;- paid vacation and sick days;- insurance compensation;- partial compensation of gym membership, english courses, books, materials for developing etc.;- unique company that is focused on the solutions development for specific business niches;- opportunity to get more experience with events, conferences, seminars, master classes and training at the company’s expense;- best management and team support: we are always happy to hear from colleagues about their business & technology ideas;- opportunity to implement your ideas on our internal projects;- regular salary revision.","['Full Remote', '5 years of experience', 'Upper-Intermediate']",83,21,"['AWS', 'KUBERNETES', 'ANGULAR']"
Full Stack Developer (Python/Angular),"['Germany', 'Poland', 'Ukraine']","starnavi is looking for full stack developer (python/angular)!we propose to join our team and participate in the development of different and interesting projects. let’s connect!full remote.required skills:- english upper intermediate- experience with building rest apis - knowledge of python, flask, javascript, typescript and angular- experience with aws or lambda- strong understanding of relational and/or nosql databaseswill be a plus:- experience with database query optimization responsibilities:- collaborate with cross-functional teams to design and develop new features for the project.- develop and maintain high-quality code.- build and maintain the project's infrastructure.your benefits:- extensive experience and remote work possibilities;- hands-on training support and help with creating/updating profile;- paid vacation and sick days;- insurance compensation;- partial compensation of gym membership, english courses, books, materials for developing etc.;- unique company that is focused on the solutions development for specific business niches;- opportunity to get more experience with events, conferences, seminars, master classes and training at the company’s expense;- best management and team support: we are always happy to hear from colleagues about their business & technology ideas;- opportunity to implement your ideas on our internal projects;- regular salary revision.","['Full Remote', '3 years of experience', 'Upper-Intermediate']",98,34,"['FLASK', 'JAVASCRIPT', 'REST', 'PYTHON', 'APIS', 'AWS']"
